unit,year_month,fully_vac_rate
Revere-hispanic,2021-09,0.57
Revere-white,2021-09,0.61
Southbridge-asian,2021-09,0.55
Southbridge-black,2021-09,0.42
Southbridge-hispanic,2021-09,0.74
Southbridge-white,2021-09,0.38
Springfield-asian,2021-09,0.53
Springfield-black,2021-09,0.4
Springfield-hispanic,2021-09,0.33
Springfield-white,2021-09,0.56
Waltham-asian,2021-09,0.54
Waltham-black,2021-09,0.58
Waltham-hispanic,2021-09,0.47
Waltham-white,2021-09,0.63
Worcester-asian,2021-09,0.61
Worcester-black,2021-09,0.43
Worcester-hispanic,2021-09,0.42
Worcester-white,2021-09,0.54
Bellingham-asian,2021-10,0.52
Bellingham-black,2021-10,0.61
Bellingham-hispanic,2021-10,0.65
Bellingham-white,2021-10,0.56
Chelsea-asian,2021-10,0.6
Chelsea-black,2021-10,0.46
Chelsea-hispanic,2021-10,0.58
Chelsea-white,2021-10,0.71
Chicopee-asian,2021-10,0.54
Chicopee-black,2021-10,0.45
Chicopee-hispanic,2021-10,0.37
Chicopee-white,2021-10,0.57
Everett-asian,2021-10,0.64
Everett-black,2021-10,0.34
Everett-hispanic,2021-10,0.51
Everett-white,2021-10,0.61
Fitchburg-asian,2021-10,0.58
Fitchburg-black,2021-10,0.43
Fitchburg-hispanic,2021-10,0.39
Fitchburg-white,2021-10,0.55
Haverhill-asian,2021-10,0.58
Haverhill-black,2021-10,0.54
Haverhill-hispanic,2021-10,0.34
Haverhill-white,2021-10,0.6
Holyoke-asian,2021-10,0.59
Holyoke-black,2021-10,0.49
Holyoke-hispanic,2021-10,0.37
Holyoke-white,2021-10,0.64
Lawrence-asian,2021-10,0.61
Lawrence-black,2021-10,1.0
Lawrence-hispanic,2021-10,0.32
Lawrence-white,2021-10,0.92
Leominster-asian,2021-10,0.61
Leominster-black,2021-10,0.5
Leominster-hispanic,2021-10,0.45
Leominster-white,2021-10,0.64
Lynn-asian,2021-10,0.61
Lynn-black,2021-10,0.47
Lynn-hispanic,2021-10,0.45
Lynn-white,2021-10,0.68
Marlborough-asian,2021-10,0.51
Marlborough-black,2021-10,0.53
Marlborough-hispanic,2021-10,0.78
Marlborough-white,2021-10,0.59
Methuen-asian,2021-10,0.54
Methuen-black,2021-10,0.67
Methuen-hispanic,2021-10,0.35
Methuen-white,2021-10,0.58
Milford-asian,2021-10,0.5
Milford-black,2021-10,0.64
Milford-hispanic,2021-10,0.81
Milford-white,2021-10,0.63
New Bedford-asian,2021-10,0.51
New Bedford-black,2021-10,0.49
New Bedford-hispanic,2021-10,0.4
New Bedford-white,2021-10,0.47
Peabody-asian,2021-10,0.6
Peabody-black,2021-10,0.53
Peabody-hispanic,2021-10,0.52
Peabody-white,2021-10,0.62
Revere-asian,2021-10,0.68
Revere-black,2021-10,0.5
Revere-hispanic,2021-10,0.58
Revere-white,2021-10,0.62
Southbridge-asian,2021-10,0.56
Southbridge-black,2021-10,0.46
Southbridge-hispanic,2021-10,0.74
Southbridge-white,2021-10,0.43
Springfield-asian,2021-10,0.55
Springfield-black,2021-10,0.43
Springfield-hispanic,2021-10,0.35
Springfield-white,2021-10,0.59
Waltham-asian,2021-10,0.55
Waltham-black,2021-10,0.6
Waltham-hispanic,2021-10,0.48
Waltham-white,2021-10,0.63
Worcester-asian,2021-10,0.61
Worcester-black,2021-10,0.45
Worcester-hispanic,2021-10,0.43
Worcester-white,2021-10,0.56
Bellingham-asian,2021-11,0.53
Bellingham-black,2021-11,0.61
Bellingham-hispanic,2021-11,0.69
Bellingham-white,2021-11,0.58
Chelsea-asian,2021-11,0.6
Chelsea-black,2021-11,0.48
Chelsea-hispanic,2021-11,0.6
Chelsea-white,2021-11,0.74
Chicopee-asian,2021-11,0.54
Chicopee-black,2021-11,0.46
Chicopee-hispanic,2021-11,0.39
Chicopee-white,2021-11,0.6
Everett-asian,2021-11,0.65
Everett-black,2021-11,0.36
Everett-hispanic,2021-11,0.52
Everett-white,2021-11,0.63
Fitchburg-asian,2021-11,0.6
Fitchburg-black,2021-11,0.46
Fitchburg-hispanic,2021-11,0.41
Fitchburg-white,2021-11,0.57
Haverhill-asian,2021-11,0.59
Haverhill-black,2021-11,0.56
Haverhill-hispanic,2021-11,0.37
Haverhill-white,2021-11,0.62
Holyoke-asian,2021-11,0.61
Holyoke-black,2021-11,0.51
Holyoke-hispanic,2021-11,0.39
Holyoke-white,2021-11,0.67
Lawrence-asian,2021-11,0.63
Lawrence-black,2021-11,1.0
Lawrence-hispanic,2021-11,0.37
Lawrence-white,2021-11,0.92
Leominster-asian,2021-11,0.63
Leominster-black,2021-11,0.52
Leominster-hispanic,2021-11,0.48
Leominster-white,2021-11,0.67
Lynn-asian,2021-11,0.62
Lynn-black,2021-11,0.49
Lynn-hispanic,2021-11,0.47
Lynn-white,2021-11,0.7
Marlborough-asian,2021-11,0.52
Marlborough-black,2021-11,0.55
Marlborough-hispanic,2021-11,0.8
Marlborough-white,2021-11,0.61
Methuen-asian,2021-11,0.54
Methuen-black,2021-11,0.67
Methuen-hispanic,2021-11,0.39
Methuen-white,2021-11,0.59
Milford-asian,2021-11,0.51
Milford-black,2021-11,0.65
Milford-hispanic,2021-11,0.84
Milford-white,2021-11,0.65
New Bedford-asian,2021-11,0.51
New Bedford-black,2021-11,0.52
New Bedford-hispanic,2021-11,0.42
New Bedford-white,2021-11,0.49
Peabody-asian,2021-11,0.6
Peabody-black,2021-11,0.55
Peabody-hispanic,2021-11,0.55
Peabody-white,2021-11,0.64
Revere-asian,2021-11,0.69
Revere-black,2021-11,0.52
Revere-hispanic,2021-11,0.6
Revere-white,2021-11,0.64
Southbridge-asian,2021-11,0.56
Southbridge-black,2021-11,0.46
Southbridge-hispanic,2021-11,0.74
Southbridge-white,2021-11,0.47
Springfield-asian,2021-11,0.57
Springfield-black,2021-11,0.46
Springfield-hispanic,2021-11,0.37
Springfield-white,2021-11,0.63
Waltham-asian,2021-11,0.57
Waltham-black,2021-11,0.61
Waltham-hispanic,2021-11,0.49
Waltham-white,2021-11,0.65
Worcester-asian,2021-11,0.62
Worcester-black,2021-11,0.47
Worcester-hispanic,2021-11,0.46
Worcester-white,2021-11,0.58
Bellingham-asian,2021-12,0.57
Bellingham-black,2021-12,0.61
Bellingham-hispanic,2021-12,0.74
Bellingham-white,2021-12,0.6
Chelsea-asian,2021-12,0.6
Chelsea-black,2021-12,0.5
Chelsea-hispanic,2021-12,0.62
Chelsea-white,2021-12,0.76
Chicopee-asian,2021-12,0.54
Chicopee-black,2021-12,0.47
Chicopee-hispanic,2021-12,0.41
Chicopee-white,2021-12,0.62
Everett-asian,2021-12,0.67
Everett-black,2021-12,0.37
Everett-hispanic,2021-12,0.54
Everett-white,2021-12,0.65
Fitchburg-asian,2021-12,0.62
Fitchburg-black,2021-12,0.48
Fitchburg-hispanic,2021-12,0.44
Fitchburg-white,2021-12,0.59
Haverhill-asian,2021-12,0.61
Haverhill-black,2021-12,0.57
Haverhill-hispanic,2021-12,0.4
Haverhill-white,2021-12,0.64
Holyoke-asian,2021-12,0.63
Holyoke-black,2021-12,0.54
Holyoke-hispanic,2021-12,0.41
Holyoke-white,2021-12,0.7
Lawrence-asian,2021-12,0.66
Lawrence-black,2021-12,1.0
Lawrence-hispanic,2021-12,0.42
Lawrence-white,2021-12,0.92
Leominster-asian,2021-12,0.65
Leominster-black,2021-12,0.55
Leominster-hispanic,2021-12,0.51
Leominster-white,2021-12,0.69
Lynn-asian,2021-12,0.65
Lynn-black,2021-12,0.5
Lynn-hispanic,2021-12,0.49
Lynn-white,2021-12,0.72
Marlborough-asian,2021-12,0.55
Marlborough-black,2021-12,0.57
Marlborough-hispanic,2021-12,0.83
Marlborough-white,2021-12,0.63
Methuen-asian,2021-12,0.57
Methuen-black,2021-12,0.67
Methuen-hispanic,2021-12,0.42
Methuen-white,2021-12,0.61
Milford-asian,2021-12,0.53
Milford-black,2021-12,0.65
Milford-hispanic,2021-12,0.87
Milford-white,2021-12,0.67
New Bedford-asian,2021-12,0.54
New Bedford-black,2021-12,0.55
New Bedford-hispanic,2021-12,0.45
New Bedford-white,2021-12,0.51
Peabody-asian,2021-12,0.61
Peabody-black,2021-12,0.57
Peabody-hispanic,2021-12,0.58
Peabody-white,2021-12,0.66
Revere-asian,2021-12,0.71
Revere-black,2021-12,0.53
Revere-hispanic,2021-12,0.63
Revere-white,2021-12,0.66
Southbridge-asian,2021-12,0.6
Southbridge-black,2021-12,0.51
Southbridge-hispanic,2021-12,0.74
Southbridge-white,2021-12,0.49
Springfield-asian,2021-12,0.59
Springfield-black,2021-12,0.48
Springfield-hispanic,2021-12,0.39
Springfield-white,2021-12,0.65
Waltham-asian,2021-12,0.6
Waltham-black,2021-12,0.64
Waltham-hispanic,2021-12,0.52
Waltham-white,2021-12,0.68
Worcester-asian,2021-12,0.64
Worcester-black,2021-12,0.49
